1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	75
1	W	75
4	R	75
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	2614
4	R	2614
4	W	2614
0	R	2614
4	J	2801
4	R	2801
4	W	2801
0	R	2801
4	J	2948
4	R	2948
4	W	2949
0	R	2949
3	J	3073
3	R	3073
3	W	3073
0	R	3073
4	J	3137
4	R	3137
4	W	3137
0	R	3137
4	J	3959
4	R	3959
4	W	3959
0	R	3959
4	J	4106
4	R	4106
4	W	4106
0	R	4106
4	J	4164
4	R	4164
4	W	4164
0	R	4164
4	J	4282
4	R	4282
4	W	4282
0	R	4282
4	J	4492
4	R	4492
4	W	4497
0	R	4498
4	J	4823
4	R	4823
4	W	4823
0	R	4823
4	J	5284
4	R	5284
6	N	5285
6	J	5285
4	W	5286
6	R	5286
7	N	5287
7	J	5288
8	N	5288
8	J	5288
9	N	5289
9	J	5289
10	N	5289
10	J	5290
11	N	5290
11	J	5290
12	N	5291
12	J	5291
13	N	5291
13	J	5292
14	N	5292
14	J	5292
15	N	5293
15	J	5293
16	N	5293
16	J	5294
17	N	5294
17	J	5294
18	N	5295
18	J	5295
19	N	5295
19	J	5296
20	N	5296
20	J	5296
21	N	5297
21	J	5297
22	N	5297
22	J	5298
23	N	5298
23	J	5298
24	N	5299
24	J	5299
25	N	5299
25	J	5300
26	N	5300
26	J	5301
27	N	5301
27	J	5301
28	N	5301
28	J	5302
29	N	5302
29	J	5303
30	N	5303
30	J	5303
31	N	5303
31	J	5304
32	N	5304
32	J	5305
33	N	5305
33	J	5305
34	N	5305
34	J	5306
35	N	5306
35	J	5307
36	N	5307
36	J	5307
37	N	5307
37	J	5308
38	N	5308
38	J	5309
39	N	5309
39	J	5309
40	N	5309
40	J	5310
41	N	5310
41	J	5311
42	N	5311
42	J	5311
43	N	5311
43	J	5312
44	N	5312
44	J	5313
45	N	5313
45	J	5313
46	N	5313
46	J	5314
47	N	5314
47	J	5315
48	N	5315
48	J	5315
49	N	5316
49	J	5316
6	J	5316
49	R	5316
49	W	5316
48	R	5317
48	W	5317
47	R	5317
47	W	5317
46	R	5317
46	W	5317
45	R	5317
45	W	5317
44	R	5317
44	W	5317
43	R	5317
43	W	5317
42	R	5317
42	W	5317
41	R	5317
41	W	5317
40	R	5317
40	W	5317
39	R	5317
39	W	5318
38	R	5318
38	W	5318
37	R	5318
37	W	5318
36	R	5318
36	W	5318
35	R	5318
35	W	5318
34	R	5318
34	W	5318
33	R	5318
33	W	5318
32	R	5318
32	W	5318
31	R	5318
31	W	5318
30	R	5318
30	W	5318
29	R	5318
29	W	5319
28	R	5319
28	W	5319
27	R	5319
27	W	5319
26	R	5319
26	W	5319
25	R	5319
25	W	5319
24	R	5319
24	W	5319
23	R	5319
23	W	5319
22	R	5319
22	W	5319
21	R	5319
21	W	5320
20	R	5320
20	W	5320
19	R	5320
19	W	5320
18	R	5320
18	W	5320
17	R	5320
17	W	5320
16	R	5320
16	W	5320
15	R	5320
15	W	5320
14	R	5320
14	W	5320
13	R	5320
13	W	5320
12	R	5320
12	W	5320
11	R	5321
11	W	5321
10	R	5321
10	W	5321
9	R	5321
9	W	5321
8	R	5321
8	W	5321
7	R	5321
7	W	5321
6	R	5321
50	N	5321
50	J	5322
51	N	5322
51	J	5322
52	N	5323
52	J	5323
53	N	5323
53	J	5324
54	N	5324
54	J	5324
55	N	5325
55	J	5325
56	N	5325
56	J	5326
6	W	5329
56	R	5329
56	W	5329
55	R	5329
55	W	5329
54	R	5329
54	W	5329
53	R	5329
53	W	5329
52	R	5329
52	W	5329
